IID,array,job,start,creative,adj_pgs,sexMale,job_sat
1170515,1,"school secretary, clerical assistant, school registry assistant {42133423_3419}",1993,0,1.4628866073720994,0,4
1170775,3,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",2006,1,0.9490495735418192,0,5
1171622,0,"nurse (of any kind, at any level)",1963,-1,-1.0154613501788443,0,4
1173778,1,"chartered surveyor, building surveyor, land surveyor, mining/minerals surveyor, river/water surveyor, surveyor and estimator, topographer, property surveyor",1964,0,-0.2402616157471425,1,4
1176374,2,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",1990,1,-0.3625791019147937,0,3
1177443,0,local government administrative officer or assistant or clerk,1986,0,0.9476742459151302,1,2
1177854,2,"bank manager, bank section manager, building society manager, post/sub-post office manager",1981,0,-1.9999927962504385,1,3
1179408,0,"quantity surveyor, quantity survey technician {24332598_2590}",1960,1,-0.260649865261718,1,4
1179516,4,"higher education teaching professional, university lecturer/professor (including college/university head/vice chancellor)",1997,1,-0.3680161525295805,0,1
1181236,1,"solicitor, lawyer, barrister, judge, coroner, articled clerk, attorney, advocate, stipendiary magistrate, fiscal/crown prosecutor, sheriff (scottish courts), legal services recorder",1973,0,-0.1889625953220228,1,3
1181607,0,sewing machinist,1979,-1,-0.8950866015476265,0,4
1181965,0,"biochemist, medical laboratory scientific officer",1981,1,-1.2394808389351002,0,3
1182313,4,"painter, calligrapher, portrait engraver, art restorer",1999,1,-0.7455249875336168,0,4
1184014,3,"author, writer, biographer, book editor, novelist, dramatist, playwright, poet",1980,1,0.7687098959780563,0,3
1184249,5,"primary /junior school teacher or teaching professional, nursery school teacher (including head teacher)",2008,1,1.791249390324592,0,4
1186401,2,"software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer",1993,1,0.4585984950089851,0,3
1186499,0,secondary school teacher or teaching professional (including head teacher),1969,1,0.9966659955556548,0,3
1186830,0,civil engineer,1977,0,-0.1315130554300837,1,3
1187406,3,"senior official in local government including parish or town or county chief clerk, chief or superintendent rate collector, chief executive or director, councillor",2008,0,1.8112000137134676,1,2
1188823,1,"software professional, analyst-programmer, computer programmer, software analyst or engineer, systems designer or programmer",1987,1,1.1846678808882876,1,0
1188975,3,"senior officer in customs and excise or immigration including senior inspector, customs and excise surveyor, immigration officer",1994,0,-0.6906976740884816,0,3
1189203,1,"typist, shorthand typist, transcriber, stenographer",1984,0,0.04986723060205719,0,3
